name,link,severity,package,version,fixedBy
CVE-2026-4105,https://avd.aquasec.com/nvd/cve-2026-4105,MEDIUM,libsystemd0,257.9-1~deb13u1,
CVE-2026-4105,https://avd.aquasec.com/nvd/cve-2026-4105,MEDIUM,libudev1,257.9-1~deb13u1,
CVE-2026-27171,https://avd.aquasec.com/nvd/cve-2026-27171,MEDIUM,zlib1g,1:1.3.dfsg+really1.3.1-1+b1,
CVE-2011-3374,https://avd.aquasec.com/nvd/cve-2011-3374,LOW,apt,3.0.3,
TEMP-0841856-B18BAF,https://security-tracker.debian.org/tracker/TEMP-0841856-B18BAF,LOW,bash,5.2.37-2+b8,
CVE-2022-0563,https://avd.aquasec.com/nvd/cve-2022-0563,LOW,bsdutils,1:2.41-5,
CVE-2025-14104,https://avd.aquasec.com/nvd/cve-2025-14104,LOW,bsdutils,1:2.41-5,
CVE-2026-3184,https://avd.aquasec.com/nvd/cve-2026-3184,LOW,bsdutils,1:2.41-5,
CVE-2017-18018,https://avd.aquasec.com/nvd/cve-2017-18018,LOW,coreutils,9.7-3,
CVE-2025-5278,https://avd.aquasec.com/nvd/cve-2025-5278,LOW,coreutils,9.7-3,
CVE-2011-3374,https://avd.aquasec.com/nvd/cve-2011-3374,LOW,libapt-pkg7.0,3.0.3,
CVE-2022-0563,https://avd.aquasec.com/nvd/cve-2022-0563,LOW,libblkid1,2.41-5,
CVE-2025-14104,https://avd.aquasec.com/nvd/cve-2025-14104,LOW,libblkid1,2.41-5,
CVE-2026-3184,https://avd.aquasec.com/nvd/cve-2026-3184,LOW,libblkid1,2.41-5,
CVE-2010-4756,https://avd.aquasec.com/nvd/cve-2010-4756,LOW,libc-bin,2.41-12+deb13u2,
CVE-2018-20796,https://avd.aquasec.com/nvd/cve-2018-20796,LOW,libc-bin,2.41-12+deb13u2,
CVE-2019-1010022,https://avd.aquasec.com/nvd/cve-2019-1010022,LOW,libc-bin,2.41-12+deb13u2,
CVE-2019-1010023,https://avd.aquasec.com/nvd/cve-2019-1010023,LOW,libc-bin,2.41-12+deb13u2,
CVE-2019-1010024,https://avd.aquasec.com/nvd/cve-2019-1010024,LOW,libc-bin,2.41-12+deb13u2,
CVE-2019-1010025,https://avd.aquasec.com/nvd/cve-2019-1010025,LOW,libc-bin,2.41-12+deb13u2,
CVE-2019-9192,https://avd.aquasec.com/nvd/cve-2019-9192,LOW,libc-bin,2.41-12+deb13u2,
CVE-2010-4756,https://avd.aquasec.com/nvd/cve-2010-4756,LOW,libc6,2.41-12+deb13u2,
CVE-2018-20796,https://avd.aquasec.com/nvd/cve-2018-20796,LOW,libc6,2.41-12+deb13u2,
CVE-2019-1010022,https://avd.aquasec.com/nvd/cve-2019-1010022,LOW,libc6,2.41-12+deb13u2,
CVE-2019-1010023,https://avd.aquasec.com/nvd/cve-2019-1010023,LOW,libc6,2.41-12+deb13u2,
CVE-2019-1010024,https://avd.aquasec.com/nvd/cve-2019-1010024,LOW,libc6,2.41-12+deb13u2,
CVE-2019-1010025,https://avd.aquasec.com/nvd/cve-2019-1010025,LOW,libc6,2.41-12+deb13u2,
CVE-2019-9192,https://avd.aquasec.com/nvd/cve-2019-9192,LOW,libc6,2.41-12+deb13u2,
CVE-2022-0563,https://avd.aquasec.com/nvd/cve-2022-0563,LOW,liblastlog2-2,2.41-5,
CVE-2025-14104,https://avd.aquasec.com/nvd/cve-2025-14104,LOW,liblastlog2-2,2.41-5,
CVE-2026-3184,https://avd.aquasec.com/nvd/cve-2026-3184,LOW,liblastlog2-2,2.41-5,
CVE-2022-0563,https://avd.aquasec.com/nvd/cve-2022-0563,LOW,libmount1,2.41-5,
CVE-2025-14104,https://avd.aquasec.com/nvd/cve-2025-14104,LOW,libmount1,2.41-5,
CVE-2026-3184,https://avd.aquasec.com/nvd/cve-2026-3184,LOW,libmount1,2.41-5,
CVE-2025-6141,https://avd.aquasec.com/nvd/cve-2025-6141,LOW,libncursesw6,6.5+20250216-2,
CVE-2022-0563,https://avd.aquasec.com/nvd/cve-2022-0563,LOW,libsmartcols1,2.41-5,
CVE-2025-14104,https://avd.aquasec.com/nvd/cve-2025-14104,LOW,libsmartcols1,2.41-5,
CVE-2026-3184,https://avd.aquasec.com/nvd/cve-2026-3184,LOW,libsmartcols1,2.41-5,
CVE-2021-45346,https://avd.aquasec.com/nvd/cve-2021-45346,LOW,libsqlite3-0,3.46.1-7+deb13u1,
CVE-2025-70873,https://avd.aquasec.com/nvd/cve-2025-70873,LOW,libsqlite3-0,3.46.1-7+deb13u1,
CVE-2026-2673,https://avd.aquasec.com/nvd/cve-2026-2673,LOW,libssl3t64,3.5.5-1~deb13u1,
CVE-2013-4392,https://avd.aquasec.com/nvd/cve-2013-4392,LOW,libsystemd0,257.9-1~deb13u1,
CVE-2023-31437,https://avd.aquasec.com/nvd/cve-2023-31437,LOW,libsystemd0,257.9-1~deb13u1,
CVE-2023-31438,https://avd.aquasec.com/nvd/cve-2023-31438,LOW,libsystemd0,257.9-1~deb13u1,
CVE-2023-31439,https://avd.aquasec.com/nvd/cve-2023-31439,LOW,libsystemd0,257.9-1~deb13u1,
CVE-2025-6141,https://avd.aquasec.com/nvd/cve-2025-6141,LOW,libtinfo6,6.5+20250216-2,
CVE-2013-4392,https://avd.aquasec.com/nvd/cve-2013-4392,LOW,libudev1,257.9-1~deb13u1,
CVE-2023-31437,https://avd.aquasec.com/nvd/cve-2023-31437,LOW,libudev1,257.9-1~deb13u1,
CVE-2023-31438,https://avd.aquasec.com/nvd/cve-2023-31438,LOW,libudev1,257.9-1~deb13u1,
CVE-2023-31439,https://avd.aquasec.com/nvd/cve-2023-31439,LOW,libudev1,257.9-1~deb13u1,
CVE-2022-0563,https://avd.aquasec.com/nvd/cve-2022-0563,LOW,libuuid1,2.41-5,
CVE-2025-14104,https://avd.aquasec.com/nvd/cve-2025-14104,LOW,libuuid1,2.41-5,
CVE-2026-3184,https://avd.aquasec.com/nvd/cve-2026-3184,LOW,libuuid1,2.41-5,
CVE-2022-0563,https://avd.aquasec.com/nvd/cve-2022-0563,LOW,login,1:4.16.0-2+really2.41-5,
CVE-2025-14104,https://avd.aquasec.com/nvd/cve-2025-14104,LOW,login,1:4.16.0-2+really2.41-5,
CVE-2026-3184,https://avd.aquasec.com/nvd/cve-2026-3184,LOW,login,1:4.16.0-2+really2.41-5,
CVE-2007-5686,https://avd.aquasec.com/nvd/cve-2007-5686,LOW,login.defs,1:4.17.4-2,
CVE-2024-56433,https://avd.aquasec.com/nvd/cve-2024-56433,LOW,login.defs,1:4.17.4-2,
TEMP-0628843-DBAD28,https://security-tracker.debian.org/tracker/TEMP-0628843-DBAD28,LOW,login.defs,1:4.17.4-2,
CVE-2022-0563,https://avd.aquasec.com/nvd/cve-2022-0563,LOW,mount,2.41-5,
CVE-2025-14104,https://avd.aquasec.com/nvd/cve-2025-14104,LOW,mount,2.41-5,
